Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DrawOperationTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DrawOperationTests.cs,Rectangle_Bounds_Are_Snapped_To_Pixels,The method has 11 parameters. Parameters: x' y' width' height' scaleX' scaleY' penThickness' expectedX' expectedY' expectedWidth' expectedHeight
Long Parameter List,Avalonia.Visuals.UnitTests.VisualTree,MockRenderInterface,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTree\MockRenderInterface.cs,CreateFormattedText,The method has 7 parameters. Parameters: text' typeface' fontSize' textAlignment' wrapping' constraint' spans
Long Parameter List,Avalonia.Visuals.UnitTests.VisualTree,MockRenderInterface,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTree\MockRenderInterface.cs,LoadBitmap,The method has 5 parameters. Parameters: format' data' size' dpi' stride
Long Parameter List,Avalonia.Visuals.UnitTests.VisualTree,MockStreamGeometryContext,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\VisualTree\MockRenderInterface.cs,ArcTo,The method has 5 parameters. Parameters: point' size' rotationAngle' isLargeArc' sweepDirection
Long Statement,Avalonia.Visuals.UnitTests.Rendering,DeferredRendererTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\DeferredRendererTests.cs,Should_Draw_Transparent_Layer_With_Correct_Opacity,The length of the statement  "            context.Verify(x => x.DrawImage(borderLayer' 0.5' It.IsAny<Rect>()' It.IsAny<Rect>()' BitmapInterpolationMode.Default)); " is 120.
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Parent_Bounds_When_Clipped,The following statement contains a magic number: var result = root.Renderer.HitTest(new Point(50' 50)' root' null);
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: var root = new TestRoot                  {                      Child = container = new Panel                      {                          Width = 100'                          Height = 200'                          Background = Brushes.Red'                          Children =                          {                              (target = new Border()                              {                                  Name = "b1"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                              })'                              new Border()                              {                                  Name = "b2"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                                  Margin = new Thickness(0' 100' 0' 0)'                                  Child = scroll = new ScrollContentPresenter()                                  {                                      CanHorizontallyScroll = true'                                      CanVerticallyScroll = true'                                      Content = new StackPanel()                                      {                                          Children =                                          {                                              (item1 = new Border()                                              {                                                  Name = "b3"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                              (item2 = new Border()                                              {                                                  Name = "b4"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                          }                                      }                                  }                              }                          }                      }                  };
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: var root = new TestRoot                  {                      Child = container = new Panel                      {                          Width = 100'                          Height = 200'                          Background = Brushes.Red'                          Children =                          {                              (target = new Border()                              {                                  Name = "b1"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                              })'                              new Border()                              {                                  Name = "b2"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                                  Margin = new Thickness(0' 100' 0' 0)'                                  Child = scroll = new ScrollContentPresenter()                                  {                                      CanHorizontallyScroll = true'                                      CanVerticallyScroll = true'                                      Content = new StackPanel()                                      {                                          Children =                                          {                                              (item1 = new Border()                                              {                                                  Name = "b3"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                              (item2 = new Border()                                              {                                                  Name = "b4"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                          }                                      }                                  }                              }                          }                      }                  };
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: var root = new TestRoot                  {                      Child = container = new Panel                      {                          Width = 100'                          Height = 200'                          Background = Brushes.Red'                          Children =                          {                              (target = new Border()                              {                                  Name = "b1"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                              })'                              new Border()                              {                                  Name = "b2"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                                  Margin = new Thickness(0' 100' 0' 0)'                                  Child = scroll = new ScrollContentPresenter()                                  {                                      CanHorizontallyScroll = true'                                      CanVerticallyScroll = true'                                      Content = new StackPanel()                                      {                                          Children =                                          {                                              (item1 = new Border()                                              {                                                  Name = "b3"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                              (item2 = new Border()                                              {                                                  Name = "b4"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                          }                                      }                                  }                              }                          }                      }                  };
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: var root = new TestRoot                  {                      Child = container = new Panel                      {                          Width = 100'                          Height = 200'                          Background = Brushes.Red'                          Children =                          {                              (target = new Border()                              {                                  Name = "b1"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                              })'                              new Border()                              {                                  Name = "b2"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                                  Margin = new Thickness(0' 100' 0' 0)'                                  Child = scroll = new ScrollContentPresenter()                                  {                                      CanHorizontallyScroll = true'                                      CanVerticallyScroll = true'                                      Content = new StackPanel()                                      {                                          Children =                                          {                                              (item1 = new Border()                                              {                                                  Name = "b3"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                              (item2 = new Border()                                              {                                                  Name = "b4"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                          }                                      }                                  }                              }                          }                      }                  };
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: var root = new TestRoot                  {                      Child = container = new Panel                      {                          Width = 100'                          Height = 200'                          Background = Brushes.Red'                          Children =                          {                              (target = new Border()                              {                                  Name = "b1"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                              })'                              new Border()                              {                                  Name = "b2"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                                  Margin = new Thickness(0' 100' 0' 0)'                                  Child = scroll = new ScrollContentPresenter()                                  {                                      CanHorizontallyScroll = true'                                      CanVerticallyScroll = true'                                      Content = new StackPanel()                                      {                                          Children =                                          {                                              (item1 = new Border()                                              {                                                  Name = "b3"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                              (item2 = new Border()                                              {                                                  Name = "b4"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                          }                                      }                                  }                              }                          }                      }                  };
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: var root = new TestRoot                  {                      Child = container = new Panel                      {                          Width = 100'                          Height = 200'                          Background = Brushes.Red'                          Children =                          {                              (target = new Border()                              {                                  Name = "b1"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                              })'                              new Border()                              {                                  Name = "b2"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                                  Margin = new Thickness(0' 100' 0' 0)'                                  Child = scroll = new ScrollContentPresenter()                                  {                                      CanHorizontallyScroll = true'                                      CanVerticallyScroll = true'                                      Content = new StackPanel()                                      {                                          Children =                                          {                                              (item1 = new Border()                                              {                                                  Name = "b3"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                              (item2 = new Border()                                              {                                                  Name = "b4"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                          }                                      }                                  }                              }                          }                      }                  };
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: var root = new TestRoot                  {                      Child = container = new Panel                      {                          Width = 100'                          Height = 200'                          Background = Brushes.Red'                          Children =                          {                              (target = new Border()                              {                                  Name = "b1"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                              })'                              new Border()                              {                                  Name = "b2"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                                  Margin = new Thickness(0' 100' 0' 0)'                                  Child = scroll = new ScrollContentPresenter()                                  {                                      CanHorizontallyScroll = true'                                      CanVerticallyScroll = true'                                      Content = new StackPanel()                                      {                                          Children =                                          {                                              (item1 = new Border()                                              {                                                  Name = "b3"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                              (item2 = new Border()                                              {                                                  Name = "b4"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                          }                                      }                                  }                              }                          }                      }                  };
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: var root = new TestRoot                  {                      Child = container = new Panel                      {                          Width = 100'                          Height = 200'                          Background = Brushes.Red'                          Children =                          {                              (target = new Border()                              {                                  Name = "b1"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                              })'                              new Border()                              {                                  Name = "b2"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                                  Margin = new Thickness(0' 100' 0' 0)'                                  Child = scroll = new ScrollContentPresenter()                                  {                                      CanHorizontallyScroll = true'                                      CanVerticallyScroll = true'                                      Content = new StackPanel()                                      {                                          Children =                                          {                                              (item1 = new Border()                                              {                                                  Name = "b3"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                              (item2 = new Border()                                              {                                                  Name = "b4"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                          }                                      }                                  }                              }                          }                      }                  };
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: var root = new TestRoot                  {                      Child = container = new Panel                      {                          Width = 100'                          Height = 200'                          Background = Brushes.Red'                          Children =                          {                              (target = new Border()                              {                                  Name = "b1"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                              })'                              new Border()                              {                                  Name = "b2"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                                  Margin = new Thickness(0' 100' 0' 0)'                                  Child = scroll = new ScrollContentPresenter()                                  {                                      CanHorizontallyScroll = true'                                      CanVerticallyScroll = true'                                      Content = new StackPanel()                                      {                                          Children =                                          {                                              (item1 = new Border()                                              {                                                  Name = "b3"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                              (item2 = new Border()                                              {                                                  Name = "b4"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                          }                                      }                                  }                              }                          }                      }                  };
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: var root = new TestRoot                  {                      Child = container = new Panel                      {                          Width = 100'                          Height = 200'                          Background = Brushes.Red'                          Children =                          {                              (target = new Border()                              {                                  Name = "b1"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                              })'                              new Border()                              {                                  Name = "b2"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                                  Margin = new Thickness(0' 100' 0' 0)'                                  Child = scroll = new ScrollContentPresenter()                                  {                                      CanHorizontallyScroll = true'                                      CanVerticallyScroll = true'                                      Content = new StackPanel()                                      {                                          Children =                                          {                                              (item1 = new Border()                                              {                                                  Name = "b3"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                              (item2 = new Border()                                              {                                                  Name = "b4"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                          }                                      }                                  }                              }                          }                      }                  };
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: var root = new TestRoot                  {                      Child = container = new Panel                      {                          Width = 100'                          Height = 200'                          Background = Brushes.Red'                          Children =                          {                              (target = new Border()                              {                                  Name = "b1"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                              })'                              new Border()                              {                                  Name = "b2"'                                  Width = 100'                                  Height = 100'                                  Background = Brushes.Red'                                  Margin = new Thickness(0' 100' 0' 0)'                                  Child = scroll = new ScrollContentPresenter()                                  {                                      CanHorizontallyScroll = true'                                      CanVerticallyScroll = true'                                      Content = new StackPanel()                                      {                                          Children =                                          {                                              (item1 = new Border()                                              {                                                  Name = "b3"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                              (item2 = new Border()                                              {                                                  Name = "b4"'                                                  Width = 100'                                                  Height = 100'                                                  Background = Brushes.Red'                                              })'                                          }                                      }                                  }                              }                          }                      }                  };
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: var result = root.Renderer.HitTest(new Point(50' 150)' root' null).First();
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: var result = root.Renderer.HitTest(new Point(50' 150)' root' null).First();
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: result = root.Renderer.HitTest(new Point(50' 50)' root' null).First();
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: result = root.Renderer.HitTest(new Point(50' 50)' root' null).First();
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: scroll.Offset = new Vector(0' 100);
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: result = root.Renderer.HitTest(new Point(50' 150)' root' null).First();
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: result = root.Renderer.HitTest(new Point(50' 150)' root' null).First();
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: result = root.Renderer.HitTest(new Point(50' 50)' root' null).First();
Magic Number,Avalonia.Visuals.UnitTests.Rendering,ImmediateRendererTests_HitTesting,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\ImmediateRendererTests_HitTesting.cs,HitTest_Should_Not_Find_Control_Outside_Scroll_Viewport,The following statement contains a magic number: result = root.Renderer.HitTest(new Point(50' 50)' root' null).First();
Magic Number,Avalonia.Visuals.UnitTests.Rendering,RenderLoopTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\RenderLoopTests.cs,RenderLoop_Passes_Tick_Count_To_Update,The following statement contains a magic number: var time = new TimeSpan(123456789L);
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,TrimChildren_Should_Trim_Children,The following statement contains a magic number: Assert.Equal(2' node.Children.Count);
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Add_DrawOperations,The following statement contains a magic number: target.FillRectangle(Brushes.Red' new Rect(0' 0' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Add_DrawOperations,The following statement contains a magic number: target.FillRectangle(Brushes.Red' new Rect(0' 0' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Add_DrawOperations,The following statement contains a magic number: target.DrawRectangle(new Pen(Brushes.Green' 1)' new Rect(0' 0' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Add_DrawOperations,The following statement contains a magic number: target.DrawRectangle(new Pen(Brushes.Green' 1)' new Rect(0' 0' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Add_DrawOperations,The following statement contains a magic number: Assert.Equal(2' node.DrawOperations.Count);
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Not_Replace_Identical_DrawOperation,The following statement contains a magic number: var operation = RefCountable.Create(new RectangleNode(Matrix.Identity' Brushes.Red' null' new Rect(0' 0' 100' 100)' 0));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Not_Replace_Identical_DrawOperation,The following statement contains a magic number: var operation = RefCountable.Create(new RectangleNode(Matrix.Identity' Brushes.Red' null' new Rect(0' 0' 100' 100)' 0));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Not_Replace_Identical_DrawOperation,The following statement contains a magic number: target.FillRectangle(Brushes.Red' new Rect(0' 0' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Not_Replace_Identical_DrawOperation,The following statement contains a magic number: target.FillRectangle(Brushes.Red' new Rect(0' 0' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Replace_Different_DrawOperation,The following statement contains a magic number: var operation = RefCountable.Create(new RectangleNode(Matrix.Identity' Brushes.Red' null' new Rect(0' 0' 100' 100)' 0));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Replace_Different_DrawOperation,The following statement contains a magic number: var operation = RefCountable.Create(new RectangleNode(Matrix.Identity' Brushes.Red' null' new Rect(0' 0' 100' 100)' 0));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Replace_Different_DrawOperation,The following statement contains a magic number: target.FillRectangle(Brushes.Green' new Rect(0' 0' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Replace_Different_DrawOperation,The following statement contains a magic number: target.FillRectangle(Brushes.Green' new Rect(0' 0' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Update_DirtyRects,The following statement contains a magic number: var operation = new RectangleNode(Matrix.Identity' Brushes.Red' null' new Rect(0' 0' 100' 100)' 0);
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Update_DirtyRects,The following statement contains a magic number: var operation = new RectangleNode(Matrix.Identity' Brushes.Red' null' new Rect(0' 0' 100' 100)' 0);
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Update_DirtyRects,The following statement contains a magic number: target.FillRectangle(Brushes.Green' new Rect(0' 0' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Update_DirtyRects,The following statement contains a magic number: target.FillRectangle(Brushes.Green' new Rect(0' 0' 100' 100));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Update_DirtyRects,The following statement contains a magic number: Assert.Equal(new Rect(0' 0' 100' 100)' layers.Single().Dirty.Single());
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Update_DirtyRects,The following statement contains a magic number: Assert.Equal(new Rect(0' 0' 100' 100)' layers.Single().Dirty.Single());
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Trim_DrawOperations,The following statement contains a magic number: i < 4
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Trim_DrawOperations,The following statement contains a magic number: target.FillRectangle(Brushes.Green' new Rect(0' 0' 10' 100));
Magic Number,Avalonia.Visuals.UnitTests.Rendering.SceneGraph,DeferredDrawingContextImplTests,D:\research\architectureSmells\repos\grokys_Perspex\tests\Avalonia.Visuals.UnitTests\Rendering\SceneGraph\DeferredDrawingContextImplTests.cs,Should_Trim_DrawOperations,The following statement contains a magic number: target.FillRectangle(Brushes.Green' new Rect(0' 0' 10' 100));
